"";"LotArea";"LotShape";"Utilities";"LandSlope";"HouseStyle";"OverallCond";"YearBuilt";"YearRemodAdd";"BsmtCond";"TotalBsmtSF";"Heating";"HeatingQC";"CentralAir";"KitchenQual";"Fireplaces";"FireplaceQu";"GarageCars";"GarageArea";"GarageCond";"PoolArea";"PoolQC";"MoSold";"YrSold";"SalePrice"
"1";"8450 m2";"Reg";"AllPub";"Gtl";"2Story";5;2003;2003;"TA";856;"GasA";"Ex";"Y";"Gd";0;NA;2;548;"TA";0;NA;2;2008;208500
"2";"9600 m2";"Reg";"AllPub";"Gtl";"1Story";8;1976;1976;"TA";1262;"GasA";"Ex";"Y";"TA";1;"TA";2;460;"TA";0;NA;5;2007;181500
"3";"11250 m2";"IR1";"AllPub";"Gtl";"2Story";5;2001;2002;"TA";920;"GasA";"Ex";"Y";"Gd";1;"TA";2;608;"TA";0;NA;9;2008;223500
"4";"9550 m2";"IR1";"AllPub";"Gtl";"2Story";5;1915;1970;"Gd";756;"GasA";"Gd";"Y";"Gd";1;"Gd";3;642;"TA";0;NA;2;2006;140000
"5";"14260 m2";"IR1";"AllPub";"Gtl";"2Story";5;2000;2000;"TA";1145;"GasA";"Ex";"Y";"Gd";1;"TA";3;836;"TA";0;NA;12;2008;250000
"6";"14115 m2";"IR1";"AllPub";"Gtl";"1.5Fin";5;1993;1995;"TA";796;"GasA";"Ex";"Y";"TA";0;NA;2;480;"TA";0;NA;10;2009;143000
"7";"10084 m2";"Reg";"AllPub";"Gtl";"1Story";5;2004;2005;"TA";1686;"GasA";"Ex";"Y";"Gd";1;"Gd";2;636;"TA";0;NA;8;2007;307000
"8";"10382 m2";"IR1";"AllPub";"Gtl";"2Story";6;1973;1973;"TA";1107;"GasA";"Ex";"Y";"TA";2;"TA";2;484;"TA";0;NA;11;2009;200000
"9";"6120 m2";"Reg";"AllPub";"Gtl";"1.5Fin";5;1931;1950;"TA";952;"GasA";"Gd";"Y";"TA";2;"TA";2;468;"TA";0;NA;4;2008;129900
"10";"7420 m2";"Reg";"AllPub";"Gtl";"1.5Unf";6;1939;1950;"TA";991;"GasA";"Ex";"Y";"TA";2;"TA";1;205;"TA";0;NA;1;2008;118000
