"year";"time";"team"
"2021";35;"Team 2"
"2020";35;"Team 3"
"2020";54;"Team 1"
"2020";30;"Team 1"
"2021";38;"Team 2"
"2020";47;"Team 3"
"2021";30;"Team 3"
"2020";87;"Team 2"
"2021";29;"Team 1"
"2020";74;"Team 2"
"2021";37;"Team 3"
"2021";21;"Team 2"
"2020";27;"Team 1"
"2020";35;"Team 2"
"2020";49;"Team 2"
"2020";35;"Team 2"
"2021";33;"Team 3"
"2021";70;"Team 3"
"2020";67;"Team 2"
"2020";36;"Team 3"
"2020";34;"Team 1"
"2021";37;"Team 2"
"2020";49;"Team 2"
"2021";32;"Team 1"
"2021";46;"Team 3"
"2021";21;"Team 1"
"2020";34;"Team 2"
"2021";42;"Team 2"
"2021";32;"Team 2"
"2020";25;"Team 3"
"2021";51;"Team 2"
"2020";76;"Team 2"
"2020";35;"Team 2"
"2021";42;"Team 3"
"2021";29;"Team 2"
"2020";24;"Team 1"
"2020";43;"Team 3"
"2021";30;"Team 2"
"2020";49;"Team 1"
"2020";37;"Team 1"
"2020";41;"Team 3"
"2020";55;"Team 1"
"2020";40;"Team 2"
"2020";25;"Team 3"
"2020";40;"Team 2"
"2020";51;"Team 2"
"2021";24;"Team 1"
"2020";50;"Team 1"
"2021";63;"Team 2"
"2021";36;"Team 3"
"2021";38;"Team 1"
"2020";67;"Team 2"
"2020";28;"Team 1"
"2021";31;"Team 1"
"2020";50;"Team 3"
"2020";46;"Team 2"
"2021";34;"Team 1"
"2021";28;"Team 1"
"2021";36;"Team 3"
"2020";33;"Team 3"
"2020";29;"Team 3"
"2021";33;"Team 2"
"2021";37;"Team 1"
"2020";41;"Team 1"
"2020";34;"Team 3"
"2020";40;"Team 1"
"2021";39;"Team 1"
"2021";38;"Team 2"
"2020";45;"Team 3"
"2021";42;"Team 1"
"2021";53;"Team 3"
"2020";32;"Team 3"
"2021";24;"Team 1"
"2020";54;"Team 1"
"2021";25;"Team 2"
"2021";44;"Team 2"
"2021";26;"Team 2"
"2021";31;"Team 3"
"2020";36;"Team 1"
"2020";49;"Team 2"
